Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
MK540273.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS015,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS015, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-03-07
MK540274.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS016,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS016, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-10-28
MK540275.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS018,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS018, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2010-11-13
MK540276.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS019,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS019, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2010-11-13
MK540277.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS020,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS020, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2010-11-24
MK540278.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS021,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS021, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-10-18
MK540279.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS023,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS023, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-12-09
MK540280.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS024,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS024, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-12-10
MK540281.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS025,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS025, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-01-12
MK540282.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS027,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS027, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-09-28
MK540283.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS029,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS029, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2011-11-16
MK540284.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS032,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS032, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-02-28
MK540285.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS033,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS033, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-03-10
MK540286.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS034,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS034, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-13
MK540287.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS035,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS035, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-17
MK540288.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS036,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS036, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-19
MK540289.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS037,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS037, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-23
MK540290.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS038,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS038, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-24
MK540291.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS039,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS039, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-23
MK540292.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS041,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS041, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-01-31
MK540293.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS045,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS045, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-13
MK540294.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS048,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS048, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-12
MK540295.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS050,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS050, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-03
MK540296.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS051,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS051, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-03
MK540297.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS052,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS052, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-05
MK540298.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS053,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS053, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-13
MK540299.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS054,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS054, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-28
MK540300.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,HS057,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate HS057, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-12-27
MK540301.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NHS002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NHS002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540302.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NHS004,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NHS004, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540303.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NKLT002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NKLT002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2012-07-12
MK540304.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NKLT003-2,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NKLT003-2, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-01-07
MK540305.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NKLT004,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NKLT004, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-03-05
MK540306.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NKLT006,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NKLT006, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-07-30
MK540307.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NKLT007,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NKLT007, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-24
MK540308.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NNPCT001,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NNPCT001, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540309.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NNPCT002,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NNPCT002, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540310.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NNPCT003,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NNPCT003, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540311.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NNPCT004,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NNPCT004, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540312.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NNPCT005,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NNPCT005, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
